AgencyName,OrganizationName,PositionTitle,PositionStatus,AppointmentTypeDescription,ExpirationDate,LevelGradePay,Location,IncumbentFirstName,IncumbentLastName,PaymentPlanDescription,Tenure,IncumbentBeginDate,IncumbentVacateDate
DEPARTMENT OF HEALTH AND HUMAN SERVICES,OFFICE OF THE SECRETARY,SPECIAL ASSISTANT,Filled,SC,,11,"Washington, DC",VINCENT,BELLOMO,GS,,3/9/2025 12:00:00 AM,6/28/2025 12:00:00 AM
DEPARTMENT OF HEALTH AND HUMAN SERVICES,OFFICE OF THE SECRETARY,SPECIAL ASSISTANT,Filled,SC,,15,"Washington, DC",ROBERT,FOSTER,GS,,1/24/2025 12:00:00 AM,2/8/2025 12:00:00 AM
DEPARTMENT OF HEALTH AND HUMAN SERVICES,OFFICE OF THE SECRETARY,SPECIAL ASSISTANT,Filled,SC,,12,"Washington, DC",KELSEY,RIHBANY,GS,,1/30/2025 12:00:00 AM,2/22/2025 12:00:00 AM
DEPARTMENT OF HEALTH AND HUMAN SERVICES,OFFICE OF THE SECRETARY,SPECIAL ASSISTANT,Filled,SC,,15,"Washington, DC",KENNETH,CALLAHAN,GS,,2/7/2025 12:00:00 AM,3/8/2025 12:00:00 AM
DEPARTMENT OF HEALTH AND HUMAN SERVICES,OFFICE OF THE SECRETARY,SPECIAL ASSISTANT,Filled,SC,,15,"Washington, DC",ANDREW,GUERNSEY,GS,,1/24/2025 12:00:00 AM,2/8/2025 12:00:00 AM
DEPARTMENT OF HEALTH AND HUMAN SERVICES,OFFICE OF THE SECRETARY,SPECIAL ASSISTANT,Filled,SC,,11,"Washington, DC",WILLIAM,BOOTHBY,GS,,1/24/2025 12:00:00 AM,2/8/2025 12:00:00 AM
DEPARTMENT OF HEALTH AND HUMAN SERVICES,OFFICE OF THE SECRETARY,SPECIAL ASSISTANT,Filled,SC,,9,"Washington, DC",ZOE,GILLSON,GS,,1/24/2025 12:00:00 AM,2/8/2025 12:00:00 AM
DEPARTMENT OF HEALTH AND HUMAN SERVICES,OFFICE OF THE SECRETARY,SPECIAL ASSISTANT,Filled,SC,,15,"Washington, DC",BETH,TIGNOR,GS,,1/24/2025 12:00:00 AM,2/8/2025 12:00:00 AM
DEPARTMENT OF HEALTH AND HUMAN SERVICES,OFFICE OF THE SECRETARY,SPECIAL ASSISTANT,Filled,SC,,11,"Washington, DC",ANNA,SWENY,GS,,1/24/2025 12:00:00 AM,2/8/2025 12:00:00 AM
DEPARTMENT OF HEALTH AND HUMAN SERVICES,OFFICE OF THE SECRETARY,SPECIAL ASSISTANT,Filled,SC,,11,"Washington, DC",VINCENT,BELLOMO,GS,,2/12/2025 12:00:00 AM,3/8/2025 12:00:00 AM
DEPARTMENT OF HEALTH AND HUMAN SERVICES,OFFICE OF THE SECRETARY,SPECIAL ASSISTANT,Filled,SC,,9,"Washington, DC",BRIDGET,LUCAS,GS,,,
DEPARTMENT OF HEALTH AND HUMAN SERVICES,OFFICE OF THE SECRETARY,SPECIAL ASSISTANT,Filled,SC,,9,"Washington, DC",ZOE,GILLSON,GS,,,
DEPARTMENT OF HEALTH AND HUMAN SERVICES,OFFICE OF THE SECRETARY,SPECIAL ASSISTANT,Filled,SC,,12,"Washington, DC",NOAH,MILLER,GS,,2/12/2025 12:00:00 AM,3/8/2025 12:00:00 AM
DEPARTMENT OF HEALTH AND HUMAN SERVICES,OFFICE OF THE SECRETARY,SPECIAL ASSISTANT,Filled,SC,,7,"Washington, DC",DORIAN,THOMPSON,GS,,2/12/2025 12:00:00 AM,3/8/2025 12:00:00 AM
DEPARTMENT OF HEALTH AND HUMAN SERVICES,OFFICE OF THE SECRETARY,SPECIAL ASSISTANT,Filled,SC,,7,"Washington, DC",NATHAN,WEINELL,GS,,3/9/2025 12:00:00 AM,6/22/2025 12:00:00 AM
DEPARTMENT OF HEALTH AND HUMAN SERVICES,OFFICE OF THE SECRETARY,SPECIAL ASSISTANT,Filled,SC,,12,"Washington, DC",NOAH,MILLER,GS,,3/9/2025 12:00:00 AM,4/5/2025 12:00:00 AM
DEPARTMENT OF HEALTH AND HUMAN SERVICES,OFFICE OF THE SECRETARY,SPECIAL ASSISTANT,Filled,SC,,11,"Washington, DC",MIA,MORENO,GS,,,
DEPARTMENT OF HEALTH AND HUMAN SERVICES,OFFICE OF THE SECRETARY,SPECIAL ASSISTANT,Filled,SC,,9,"Washington, DC",Jack,Anderson,GS,,,
DEPARTMENT OF HEALTH AND HUMAN SERVICES,OFFICE OF THE SECRETARY,SPECIAL ASSISTANT,Filled,SC,,11,"Washington, DC",JARRETT,ROWE,GS,,,
DEPARTMENT OF HEALTH AND HUMAN SERVICES,OFFICE OF THE SECRETARY,SPECIAL ASSISTANT,Filled,SC,,11,"Washington, DC",Malia,Shirley,GS,,,
DEPARTMENT OF HEALTH AND HUMAN SERVICES,OFFICE OF THE SECRETARY,SPECIAL ASSISTANT,Filled,SC,,9,"Washington, DC",JACKSON,BAUGH,GS,,,
DEPARTMENT OF HEALTH AND HUMAN SERVICES,OFFICE OF THE SECRETARY,WHITE HOUSE LIAISON,Filled,NA,,"$195,200","Washington, DC",MATTHEW,BUCKHAM,ES,,,
DEPARTMENT OF HEALTH AND HUMAN SERVICES,PROGRAM SUPPORT CENTER,"DEPUTY ASSISTANT SECRETARY, PROGRAM SUPPORT CENTER",Filled,CA,,"$225,700","ROCKVILLE, MD",MELISSA,BRUCE,ES,,,
DEPARTMENT OF HEALTH AND HUMAN SERVICES,SUBSTANCE ABUSE AND MENTAL HEALTH SERVICES ADMINISTRATION,ASSISTANT SECRETARY FOR MENTAL HEALTH AND SUBSTANCE USE,Vacant,PAS,,IV,"ROCKVILLE, MD",,,EX,,,
DEPARTMENT OF HEALTH AND HUMAN SERVICES,SUBSTANCE ABUSE AND MENTAL HEALTH SERVICES ADMINISTRATION,"DIRECTOR, 988 AND BEHAVIORAL HEALTH CRISIS",Vacant,CA,,,"ROCKVILLE, MD",,,ES,,,
DEPARTMENT OF HEALTH AND HUMAN SERVICES,SUBSTANCE ABUSE AND MENTAL HEALTH SERVICES ADMINISTRATION,"DIRECTOR, 988 AND BEHAVIORAL HEALTH CRISIS",Filled,CA,,,"ROCKVILLE, MD",MONICA,JOHNSON,ES,,8/27/2023 12:00:00 AM,2/8/2025 12:00:00 AM
DEPARTMENT OF HEALTH AND HUMAN SERVICES,SUBSTANCE ABUSE AND MENTAL HEALTH SERVICES ADMINISTRATION,"DIRECTOR, CENTER FOR BEHAVIORAL HEALTH STATISTICS AND QUALITY",Vacant,CA,,,"ROCKVILLE, MD",,,ES,,,
DEPARTMENT OF HEALTH AND HUMAN SERVICES,SUBSTANCE ABUSE AND MENTAL HEALTH SERVICES ADMINISTRATION,"DIRECTOR, NATIONAL MENTAL HEALTH AND SUBSTANCE USE POLICY LABORATORY",Filled,CA,,"$219,573","ROCKVILLE, MD",BRIAN,ALTMAN,ES,,,
DEPARTMENT OF HEALTH AND HUMAN SERVICES,SUBSTANCE ABUSE AND MENTAL HEALTH SERVICES ADMINISTRATION,"DIRECTOR, OFFICE OF BEHAVIORAL HEALTH EQUITY",Filled,CA,,"$203,000","ROCKVILLE, MD",RACHELE,ESPIRITU,ES,,,
DEPARTMENT OF HEALTH AND HUMAN SERVICES,SUBSTANCE ABUSE AND MENTAL HEALTH SERVICES ADMINISTRATION,"DIRECTOR, OFFICE OF INTERGOVERNMENTAL AND PUBLIC AFFAIRS",Filled,CA,,"$203,000","ROCKVILLE, MD",CRAIG,OBEY,ES,,,
DEPARTMENT OF HEALTH AND HUMAN SERVICES,SUBSTANCE ABUSE AND MENTAL HEALTH SERVICES ADMINISTRATION,PRINCIPAL DEPUTY ASSISTANT SECRETARY,Filled,CA,,"$217,653","ROCKVILLE, MD",THOMAS,CODERRE,ES,,,
DEPARTMENT OF HEALTH AND HUMAN SERVICES,SUBSTANCE ABUSE AND MENTAL HEALTH SERVICES ADMINISTRATION,PRINCIPAL DEPUTY ASSISTANT SECRETARY FOR MENTAL HEALTH AND SUBSTANCE USE,Filled,NA,,"$195,200","ROCKVILLE, MD",ARTHUR,KLEINSCHMIDT,ES,,,
DEPARTMENT OF HEALTH AND HUMAN SERVICES,SUBSTANCE ABUSE AND MENTAL HEALTH SERVICES ADMINISTRATION,SENIOR ADVISOR,Filled,CA,,"$223,754","ROCKVILLE, MD",ELIZABETH,LOPEZ,ES,,,
DEPARTMENT OF HEALTH AND HUMAN SERVICES,SUBSTANCE ABUSE AND MENTAL HEALTH SERVICES ADMINISTRATION,SENIOR ADVISOR,Filled,SC,,15,"ROCKVILLE, MD",RICK,LAMBERT,GS,,,
DEPARTMENT OF HEALTH AND HUMAN SERVICES,SUBSTANCE ABUSE AND MENTAL HEALTH SERVICES ADMINISTRATION,SENIOR ADVISOR,Filled,CA,,"$202,085","ROCKVILLE, MD",NAOMI,TOMOYASU,ES,,,
DEPARTMENT OF HEALTH AND HUMAN SERVICES OFFICE OF THE INSPECTOR GENERAL,DEPARTMENT OF HEALTH AND HUMAN SERVICES OFFICE OF THE INSPECTOR GENERAL,INSPECTOR GENERAL,Vacant,PAS,,III,"Washington, DC",,,EX,,,
DEPARTMENT OF HEALTH AND HUMAN SERVICES OFFICE OF THE INSPECTOR GENERAL,DEPARTMENT OF HEALTH AND HUMAN SERVICES OFFICE OF THE INSPECTOR GENERAL,INSPECTOR GENERAL,Filled,PAS,,III,"Washington, DC",CHRISTI,GRIMM,EX,,2/18/2022 12:00:00 AM,1/24/2025 12:00:00 AM
DEPARTMENT OF HOMELAND SECURITY,COUNTERING WEAPONS OF MASS DESTRUCTION OFFICE,"ASSISTANT DIRECTOR, OPERATIONS SUPPORT DIRECTORATE",Filled,CA,,"$223,800","Washington, DC",CHRISTOPHER,MAGRINO,ES,,,
DEPARTMENT OF HOMELAND SECURITY,COUNTERING WEAPONS OF MASS DESTRUCTION OFFICE,ASSISTANT SECRETARY FOR COUNTERING WEAPONS OF MASS DESTRUCTION,Filled,PAS,,,"Washington, DC",DAVID,RICHARDSON,OT,,,
DEPARTMENT OF HOMELAND SECURITY,COUNTERING WEAPONS OF MASS DESTRUCTION OFFICE,CHIEF OF STAFF,Vacant,CA,,,"Washington, DC",,,ES,,,
DEPARTMENT OF HOMELAND SECURITY,COUNTERING WEAPONS OF MASS DESTRUCTION OFFICE,CHIEF OF STAFF,Filled,CA,,,"Washington, DC",ANTHONY,ANTOGNOLI,ES,,9/27/2020 12:00:00 AM,3/22/2025 12:00:00 AM
DEPARTMENT OF HOMELAND SECURITY,COUNTERING WEAPONS OF MASS DESTRUCTION OFFICE,DEPUTY ASSISTANT SECRETARY FOR ENTERPRISE SERVICES,Filled,CA,,"$225,700","Washington, DC",ERIN,VESPE,ES,,,
DEPARTMENT OF HOMELAND SECURITY,COUNTERING WEAPONS OF MASS DESTRUCTION OFFICE,"DEPUTY ASSISTANT SECRETARY FOR STRATEGY, PLANS AND POLICY",Filled,CA,,"$223,358","Washington, DC",ANDREW,KUEPPER,ES,,,
DEPARTMENT OF HOMELAND SECURITY,COUNTERING WEAPONS OF MASS DESTRUCTION OFFICE,DEPUTY ASSISTANT SECRETARY FOR SYSTEMS SUPPORT,Filled,CA,,"$225,700","Washington, DC",JOEL,RYNES,ES,3.0,,
DEPARTMENT OF HOMELAND SECURITY,COUNTERING WEAPONS OF MASS DESTRUCTION OFFICE,"DEPUTY ASSISTANT SECRETARY, RISK, ANALYSIS, REQUIREMENTS, AND EVIDENCE UTILIZATION AND OPTIMIZATION DIRECTORATE",Filled,CA,,"$203,414","Washington, DC",GLEN,MAYLONE,ES,,,
DEPARTMENT OF HOMELAND SECURITY,COUNTERING WEAPONS OF MASS DESTRUCTION OFFICE,EXECUTIVE DIRECTOR FOR TECHNOLOGY AND CAPABILITY READINESS,Filled,CA,,"$202,672","Washington, DC",KALPESH,PATEL,ES,,,
DEPARTMENT OF HOMELAND SECURITY,COUNTERING WEAPONS OF MASS DESTRUCTION OFFICE,PRINCIPAL DEPUTY ASSISTANT SECRETARY,Vacant,CA,,,"Washington, DC",,,ES,,,
DEPARTMENT OF HOMELAND SECURITY,CYBERSECURITY AND INFRASTRUCTURE SECURITY AGENCY,ASSISTANT DIRECTOR FOR STAKEHOLDER ENGAGEMENT,Filled,CA,,"$225,700","Washington, DC",STERLING,FRAZIER,ES,,,
DEPARTMENT OF HOMELAND SECURITY,CYBERSECURITY AND INFRASTRUCTURE SECURITY AGENCY,"ASSISTANT DIRECTOR, INTEGRATED OPERATIONS DIVISION",Filled,CA,,"$193,773","Washington, DC",BOYDEN,ROHNER,ES,,,
DEPARTMENT OF HOMELAND SECURITY,CYBERSECURITY AND INFRASTRUCTURE SECURITY AGENCY,"ASSISTANT DIRECTOR, NATIONAL RISK MANAGEMENT CENTER",Filled,CA,,"$225,700","Washington, DC",MONA,HARRINGTON,ES,,,
DEPARTMENT OF HOMELAND SECURITY,CYBERSECURITY AND INFRASTRUCTURE SECURITY AGENCY,ASSOCIATE DIRECTOR BOMBING PREVENTION,Filled,CA,,"$199,984","ARLINGTON, VA",SEAN,HAGLUND,ES,,,
DEPARTMENT OF HOMELAND SECURITY,CYBERSECURITY AND INFRASTRUCTURE SECURITY AGENCY,ASSOCIATE DIRECTOR FOR CHEMICAL SECURITY,Filled,CA,,"$203,807","Washington, DC",KELLY,MURRAY,ES,,,
DEPARTMENT OF HOMELAND SECURITY,CYBERSECURITY AND INFRASTRUCTURE SECURITY AGENCY,ASSOCIATE DIRECTOR FOR EXERCISE,Filled,CA,,"$225,700","Washington, DC",LISA,BEURY-RUSSO,ES,,,
DEPARTMENT OF HOMELAND SECURITY,CYBERSECURITY AND INFRASTRUCTURE SECURITY AGENCY,ASSOCIATE DIRECTOR FOR READINESS AND CONTINUITY,Filled,CA,,"$207,305","Washington, DC",VICTOR,DAVIS,ES,,,
DEPARTMENT OF HOMELAND SECURITY,CYBERSECURITY AND INFRASTRUCTURE SECURITY AGENCY,"ASSOCIATE DIRECTOR, RISK SERVICES",Filled,CA,,"$194,217","ARLINGTON, VA",JONATHAN,RUSSELL,ES,,,
DEPARTMENT OF HOMELAND SECURITY,CYBERSECURITY AND INFRASTRUCTURE SECURITY AGENCY,CHIEF COUNSEL FOR CYBERSECURITY AND INFRASTRUCTURE SECURITY AGENCY,Filled,CA,,"$206,033","Washington, DC",SPENCER,FISHER,ES,,,
DEPARTMENT OF HOMELAND SECURITY,CYBERSECURITY AND INFRASTRUCTURE SECURITY AGENCY,CHIEF EXTERNAL AFFAIRS OFFICER,Vacant,NA,,,"Washington, DC",,,ES,,,
DEPARTMENT OF HOMELAND SECURITY,CYBERSECURITY AND INFRASTRUCTURE SECURITY AGENCY,CHIEF FINANCIAL OFFICER,Filled,CA,,"$220,640","Washington, DC",TAREK,ABBOUSHI,ES,,,
DEPARTMENT OF HOMELAND SECURITY,CYBERSECURITY AND INFRASTRUCTURE SECURITY AGENCY,CHIEF LEARNING OFFICER,Vacant,CA,,,"Washington, DC",,,ES,,,
DEPARTMENT OF HOMELAND SECURITY,CYBERSECURITY AND INFRASTRUCTURE SECURITY AGENCY,CHIEF LEARNING OFFICER,Filled,CA,,,"Washington, DC",CHRISTOPHER,LEIN,ES,,3/24/2024 12:00:00 AM,3/8/2025 12:00:00 AM
DEPARTMENT OF HOMELAND SECURITY,CYBERSECURITY AND INFRASTRUCTURE SECURITY AGENCY,CHIEF OF STAFF,Vacant,NA,,,"Washington, DC",,,ES,,,
DEPARTMENT OF HOMELAND SECURITY,CYBERSECURITY AND INFRASTRUCTURE SECURITY AGENCY,CHIEF OF STAFF TO THE DEPUTY DIRECTOR,Filled,CA,,"$225,700","ARLINGTON, VA",KATHRYN,MITCHELL,ES,,,
DEPARTMENT OF HOMELAND SECURITY,CYBERSECURITY AND INFRASTRUCTURE SECURITY AGENCY,COMPONENT CHIEF HUMAN CAPITAL OFFICER,Filled,CA,,"$225,700","Washington, DC",JAMES,DUNCAN,ES,,,
DEPARTMENT OF HOMELAND SECURITY,CYBERSECURITY AND INFRASTRUCTURE SECURITY AGENCY,DEPUTY ASSISTANT DIRECTOR FOR INTEGRATED OPERATIONS,Filled,CA,,"$192,300","Washington, DC",KENNETH,GANTT,ES,,,
DEPARTMENT OF HOMELAND SECURITY,CYBERSECURITY AND INFRASTRUCTURE SECURITY AGENCY,"DEPUTY ASSISTANT DIRECTOR, NATIONAL RISK MANAGEMENT CENTER",Filled,CA,,"$219,699","Washington, DC",JOSEPH,ROMAN,ES,,,
DEPARTMENT OF HOMELAND SECURITY,CYBERSECURITY AND INFRASTRUCTURE SECURITY AGENCY,DEPUTY ASST. DIRECTOR FOR STAKEHOLDER ENGAGEMENT DIVISION,Filled,CA,,"$202,720","Washington, DC","RYAN ",DONAGHY,ES,,,
DEPARTMENT OF HOMELAND SECURITY,CYBERSECURITY AND INFRASTRUCTURE SECURITY AGENCY,DEPUTY CHIEF HUMAN CAPITAL OFFICER,Filled,CA,,"$225,092","Washington, DC",DANA,SALVANO-DUNN,ES,,,
DEPARTMENT OF HOMELAND SECURITY,CYBERSECURITY AND INFRASTRUCTURE SECURITY AGENCY,"DEPUTY DIRECTOR, CYBERSECURITY AND INFRASTRUCTURE SECURITY AGENCY",Filled,NA,,,"Washington, DC",MADHU,GOTTUMUKKALA,ES,,,
DEPARTMENT OF HOMELAND SECURITY,CYBERSECURITY AND INFRASTRUCTURE SECURITY AGENCY,DEPUTY EXECUTIVE ASSISTANT DIRECTOR FOR EMERGENCY COMMUNICATIONS,Filled,CA,,"$225,700","Washington, DC",VINCENT,DELAURENTIS,ES,,,
DEPARTMENT OF HOMELAND SECURITY,CYBERSECURITY AND INFRASTRUCTURE SECURITY AGENCY,DEPUTY EXECUTIVE ASSISTANT DIRECTOR FOR INFRASTRUCTURE SECURITY,Vacant,CA,,,"Washington, DC",,,ES,,,
DEPARTMENT OF HOMELAND SECURITY,CYBERSECURITY AND INFRASTRUCTURE SECURITY AGENCY,DEPUTY EXECUTIVE ASSISTANT DIRECTOR FOR INFRASTRUCTURE SECURITY,Filled,CA,,,"Washington, DC",STEVEN,HARRIS,ES,,3/3/2019 12:00:00 AM,5/31/2025 12:00:00 AM
DEPARTMENT OF HOMELAND SECURITY,CYBERSECURITY AND INFRASTRUCTURE SECURITY AGENCY,DIRECTOR OF LEGISLATIVE AFFAIRS,Filled,NA,,,"Washington, DC",DiEmidio,Katherine,ES,,,
DEPARTMENT OF HOMELAND SECURITY,CYBERSECURITY AND INFRASTRUCTURE SECURITY AGENCY,DIRECTOR OF MANAGEMENT,Filled,CA,,"$225,700","Washington, DC",NICOLE,WINDHAM,ES,,,
DEPARTMENT OF HOMELAND SECURITY,CYBERSECURITY AND INFRASTRUCTURE SECURITY AGENCY,DIRECTOR OF PUBLIC AFFAIRS,Filled,SC,,14,"Washington, DC",MARCI,MCCARTHY,GS,,,
DEPARTMENT OF HOMELAND SECURITY,CYBERSECURITY AND INFRASTRUCTURE SECURITY AGENCY,"DIRECTOR, CYBERSECURITY AND INFRASTRUCTURE SECURITY AGENCY",Filled,PAS,,II,"Washington, DC",MADHU,GOTTUMUKKALA,EX,,,
DEPARTMENT OF HOMELAND SECURITY,CYBERSECURITY AND INFRASTRUCTURE SECURITY AGENCY,"DIRECTOR, PROTECTIVE SECURITY COORDINATION",Filled,CA,,"$225,700","Washington, DC",SCOTT,BREOR,ES,,,
DEPARTMENT OF HOMELAND SECURITY,CYBERSECURITY AND INFRASTRUCTURE SECURITY AGENCY,"DIRECTOR, STRATEGY, POLICY AND PLANS",Vacant,CA,,,"Washington, DC",,,ES,,,
DEPARTMENT OF HOMELAND SECURITY,CYBERSECURITY AND INFRASTRUCTURE SECURITY AGENCY,EXECUTIVE ASSISTANT DIRECTOR FOR CYBERSECURITY,Vacant,PA,,,"Washington, DC",,,OT,,,
DEPARTMENT OF HOMELAND SECURITY,CYBERSECURITY AND INFRASTRUCTURE SECURITY AGENCY,EXECUTIVE ASSISTANT DIRECTOR FOR CYBERSECURITY,Filled,PA,,,"Washington, DC",KAREN,EVANS,OT,,1/29/2025 12:00:00 AM,6/18/2025 12:00:00 AM
DEPARTMENT OF HOMELAND SECURITY,CYBERSECURITY AND INFRASTRUCTURE SECURITY AGENCY,EXECUTIVE ASSISTANT DIRECTOR FOR EMERGENCY COMMUNICATIONS,Filled,CA,,"$218,594","Washington, DC",BILLY,BROWN,ES,,,
DEPARTMENT OF HOMELAND SECURITY,CYBERSECURITY AND INFRASTRUCTURE SECURITY AGENCY,EXECUTIVE ASSISTANT DIRECTOR FOR INFRASTRUCTURE SECURITY,Vacant,NA,,,"Washington, DC",,,OT,,,
DEPARTMENT OF HOMELAND SECURITY,CYBERSECURITY AND INFRASTRUCTURE SECURITY AGENCY,EXECUTIVE DIRECTOR FOR INTELLIGENCE OPERATIONS,Filled,TA,,"$188,662","ARLINGTON, VA",ZANDREIA,KEYS,ES,,,
DEPARTMENT OF HOMELAND SECURITY,CYBERSECURITY AND INFRASTRUCTURE SECURITY AGENCY,"EXECUTIVE DIRECTOR, JOINT CYBER COORDINATION GROUP",Filled,CA,,"$217,900","Washington, DC",CASIE,ANTALIS,ES,,,
DEPARTMENT OF HOMELAND SECURITY,CYBERSECURITY AND INFRASTRUCTURE SECURITY AGENCY,PRINCIPAL DEPUTY CHIEF COUNSEL,Filled,CA,,"$201,495","Washington, DC",JULIE,KOLLER,ES,,,
DEPARTMENT OF HOMELAND SECURITY,CYBERSECURITY AND INFRASTRUCTURE SECURITY AGENCY,REGIONAL DIRECTOR,Filled,CA,,"$225,700","CHICAGO, IL",ALEXANDER,JOVES,ES,,,
DEPARTMENT OF HOMELAND SECURITY,CYBERSECURITY AND INFRASTRUCTURE SECURITY AGENCY,REGIONAL DIRECTOR,Filled,CA,,"$216,459","ATLANTA, GA",JULIUS,"GAMBLE, II",ES,,,
DEPARTMENT OF HOMELAND SECURITY,CYBERSECURITY AND INFRASTRUCTURE SECURITY AGENCY,REGIONAL DIRECTOR,Filled,CA,,"$222,660","DENVER, CO",SHAWN,GRAFF,ES,,,
DEPARTMENT OF HOMELAND SECURITY,CYBERSECURITY AND INFRASTRUCTURE SECURITY AGENCY,REGIONAL DIRECTOR,Filled,CA,,"$225,700","NEW YORK, NY",JOHN,DURKIN,ES,,,
DEPARTMENT OF HOMELAND SECURITY,CYBERSECURITY AND INFRASTRUCTURE SECURITY AGENCY,"REGIONAL DIRECTOR, REGION 10, SEATTLE, WA",Filled,CA,,"$204,298","SEATTLE, WA",PATRICK,MASSEY,ES,,,
DEPARTMENT OF HOMELAND SECURITY,CYBERSECURITY AND INFRASTRUCTURE SECURITY AGENCY,"REGIONAL DIRECTOR, REGION 3, PHILADELPHIA, PA",Filled,CA,,"$208,804","PHILADELPHIA, PA",WILLIAM,RYAN,ES,,,
DEPARTMENT OF HOMELAND SECURITY,CYBERSECURITY AND INFRASTRUCTURE SECURITY AGENCY,"REGIONAL DIRECTOR, REGION 6, DALLAS, TX",Vacant,CA,,,"DALLAS, TX",,,ES,,,
DEPARTMENT OF HOMELAND SECURITY,CYBERSECURITY AND INFRASTRUCTURE SECURITY AGENCY,"REGIONAL DIRECTOR, REGION 7, KANSAS CITY, MO",Filled,CA,,"$213,295","KANSAS CITY, MO",PHILIP,KIRK,ES,,,
DEPARTMENT OF HOMELAND SECURITY,CYBERSECURITY AND INFRASTRUCTURE SECURITY AGENCY,"REGIONAL DIRECTOR, REGION I, BOSTON, MA",Filled,CA,,"$204,810","BOSTON, MA",MATTHEW,MCCANN,ES,,,
DEPARTMENT OF HOMELAND SECURITY,CYBERSECURITY AND INFRASTRUCTURE SECURITY AGENCY,SENIOR ADVISOR,Filled,SC,,15,"Washington, DC",Andrew,Staddon,GS,,,
DEPARTMENT OF HOMELAND SECURITY,CYBERSECURITY AND INFRASTRUCTURE SECURITY AGENCY,SENIOR ADVISOR,Filled,NA,,,"Washington, DC",STEPHEN," CASAPULLA",ES,,,
DEPARTMENT OF HOMELAND SECURITY,CYBERSECURITY AND INFRASTRUCTURE SECURITY AGENCY,"SENIOR ADVISOR, OFFICE OF INFRASTRUCTURE SECURITY",Filled,CA,,"$213,668","Washington, DC",WILLIAM,CONKLIN,ES,,,
DEPARTMENT OF HOMELAND SECURITY,CYBERSECURITY AND INFRASTRUCTURE SECURITY AGENCY,SENIOR COUNSELOR TO THE DIRECTOR FOR CISA,Filled,CA,,"$215,671","Washington, DC",DALLAS,BROWN,ES,,,
DEPARTMENT OF HOMELAND SECURITY,CYBERSECURITY AND INFRASTRUCTURE SECURITY AGENCY,SENIOR ELECTION SECURITY ADVISOR,Vacant,NA,,,"Washington, DC",,,ES,,,
DEPARTMENT OF HOMELAND SECURITY,CYBERSECURITY AND INFRASTRUCTURE SECURITY AGENCY,SPECIAL ASSISTANT,Filled,SC,,11,"Washington, DC"," Isabella",Flynn,GS,,,
DEPARTMENT OF HOMELAND SECURITY,FEDERAL EMERGENCY MANAGEMENT AGENCY,ADMINISTRATOR FOR FEDERAL EMERGENCY MANAGEMENT AGENCY,Filled,PAS,,II,"Washington, DC",DAVID,RICHARDSON,EX,,,
DEPARTMENT OF HOMELAND SECURITY,FEDERAL EMERGENCY MANAGEMENT AGENCY,"ADMINISTRATOR, UNITED STATES FIRE ADMINISTRATION",Vacant,PAS,,IV,"Washington, DC",,,EX,,,
DEPARTMENT OF HOMELAND SECURITY,FEDERAL EMERGENCY MANAGEMENT AGENCY,ASSISTANT ADMINISTRATOR FOR FEDERAL INSURANCE,Filled,CA,,"$207,990","Washington, DC",ELIZABETH,ASCHE,ES,,,
DEPARTMENT OF HOMELAND SECURITY,FEDERAL EMERGENCY MANAGEMENT AGENCY,ASSISTANT ADMINISTRATOR FOR FIELD LEADERSHIP,Filled,CA,,"$197,152","Washington, DC",THOMAS,MCCOOL,ES,,,
DEPARTMENT OF HOMELAND SECURITY,FEDERAL EMERGENCY MANAGEMENT AGENCY,ASSISTANT ADMINISTRATOR FOR MITIGATION,Vacant,CA,,,"Washington, DC",,,ES,,,
DEPARTMENT OF HOMELAND SECURITY,FEDERAL EMERGENCY MANAGEMENT AGENCY,ASSISTANT ADMINISTRATOR FOR MITIGATION,Filled,CA,,,"Washington, DC",DERRICK,HIEBERT,ES,,9/10/2023 12:00:00 AM,5/31/2025 12:00:00 AM
DEPARTMENT OF HOMELAND SECURITY,FEDERAL EMERGENCY MANAGEMENT AGENCY,ASSISTANT ADMINISTRATOR FOR NATIONAL PREPAREDNESS,Filled,CA,,"$203,878","Washington, DC",ERIN,HOFFMAN,ES,,,
DEPARTMENT OF HOMELAND SECURITY,FEDERAL EMERGENCY MANAGEMENT AGENCY,ASSISTANT ADMINISTRATOR FOR RECOVERY,Filled,CA,,"$220,469","Washington, DC",WILLIAM,HAGMAIER,ES,,,
DEPARTMENT OF HOMELAND SECURITY,FEDERAL EMERGENCY MANAGEMENT AGENCY,ASSISTANT ADMINISTRATOR FOR RESILIENCE STRATEGY,Filled,CA,,"$218,925","Washington, DC",SAMANTHA,MEDLOCK,ES,,,
DEPARTMENT OF HOMELAND SECURITY,FEDERAL EMERGENCY MANAGEMENT AGENCY,ASSISTANT ADMINISTRATOR FOR RESPONSE,Filled,CA,,"$225,700","Washington, DC",MATTHEW,PAYNE,ES,,,
DEPARTMENT OF HOMELAND SECURITY,FEDERAL EMERGENCY MANAGEMENT AGENCY,ASSISTANT ADMINISTRATOR FOR RISK MANAGEMENT,Filled,CA,,"$211,962","Washington, DC",KRISTIN,FONTENOT,ES,,,
